class,precision,recall,f1,mAP50,mAP50_95
Hardhat,0.5301,0.6667,0.5906,0.6374,0.4298
Mask,0.4354,0.2,0.2741,0.1964,0.0823
NO-Hardhat,0.7747,0.6909,0.7304,0.6957,0.4282
NO-Mask,0.756,0.6242,0.6838,0.757,0.5604
NO-Safety Vest,0.9109,0.5714,0.7023,0.622,0.3896
Person,0.6128,0.5406,0.5744,0.5207,0.2762
Safety Cone,0.7093,0.525,0.6034,0.5323,0.2058
Safety Vest,0.7875,0.4444,0.5682,0.5331,0.2569
machinery,0.6887,0.5805,0.63,0.6064,0.3386
vehicle,0.0,0.0,0.0,0.0,0.0
Overall,0.6895,0.5382,0.6045,0.5668,0.3297
